key,T6_1_HB_H,T6_1_FA_H,flood_depth_m,flood_frac,m2_lo,m2_mid,m2_hi,dmg_lo,dmg_eur,dmg_hi
268143008,60,44,1.5404819484240686,0.8429951690821256,928.1412225675663,2130.104374122725,5577.371253052511,2320353.0564189157,5325260.935306813,13943428.132631278
268143011,27,48,1.2311586985391767,0.9483627204030227,668.1910578491522,1422.0949097462644,3860.165558114715,1670477.6446228805,3555237.274365661,9650413.895286787
268143010,0,116,0.6020227074235808,0.5768261964735516,417.8948302002619,756.8988329266297,2295.8220745350122,1044737.0755006548,1892247.0823165742,5739555.186337531
268143009,40,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268143012,26,77,1.2345877169559412,0.5693652603572786,518.1047130840985,1113.2677170656389,3030.8601121769852,1295261.7827102463,2783169.292664097,7577150.280442463
268143015,79,7,1.1048814432989689,0.7950819672131147,815.9772377280078,1648.7145484846108,4515.196969725276,2039943.0943200195,4121786.371211527,11287992.424313191
268097001,7,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268097002,25,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268097003,17,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268097004,7,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268117022,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268117009,27,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268117023,15,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268133006,40,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128019,24,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268131008,90,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128020,60,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128022,82,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268131004,56,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268131002,66,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128024,41,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268131003,36,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268131005,62,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128005,0,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268131006,79,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128004,17,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268131007,98,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128001,33,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128016,43,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128006,30,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128002,26,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128007,49,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128013,39,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128015,25,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128023,32,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128003,71,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128017,93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128018,47,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128021,34,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268117021,3,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268117020,0,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268117019,57,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268109012,0,127,0.7721413469735721,0.1460772104607721,124.17777723492705,240.36146757981973,706.7297005182069,310444.44308731763,600903.6689495493,1766824.2512955172
268105007,24,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268105008,20,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268105001,75,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268109017,57,12,1.3073508847441415,0.3943794794417201,324.02309011658656,683.2517980813246,1816.6860939047801,810057.7252914663,1708129.4952033116,4541715.234761951
268109008,0,97,0.24226666666666666,0.0046439628482972135,2.030126561981424,2.6907787411021675,9.678160779739938,5075.316404953561,6726.946852755419,24195.401949349845
268109016,29,54,1.6623632183908044,0.8630952380952381,671.9952061044023,1624.5993813677824,4234.192996809472,1679988.0152610058,4061498.453419456,10585482.49202368
268109013,0,99,0.7948785714285715,0.14285714285714285,95.26437520824491,186.2030863116735,545.923467055102,238160.9380206123,465507.7157791838,1364808.6676377552
268109015,42,34,1.3776444020356233,0.6060138781804163,481.6564346929048,1054.780153089376,2803.8748475198727,1204141.086732262,2636950.38272344,7009687.118799682
268109006,0,52,0.4622338983050847,0.5959595959595959,178.69879153454545,300.3146378298182,944.7323947254949,446746.97883636365,750786.5945745455,2361830.9868137375
268109011,0,124,0.5558333333333334,0.6176470588235294,468.6003079058824,831.9275487764709,2549.14788882353,1171500.769764706,2079818.8719411772,6372869.722058825
268109005,60,37,0.9221854184641932,0.9361873990306947,899.9256159012284,1768.6717919577432,5012.938346538998,2249814.039753071,4421679.479894358,12532345.866347495
268109004,70,24,1.5809801627670397,1.0,1078.7237144798505,2478.854827443453,6443.960433885805,2696809.2861996265,6197137.068608632,16109901.084714513
268109007,0,81,0.3923722222222223,0.2297872340425532,100.49179840391491,158.74130299128515,513.8118250060596,251229.49600978728,396853.2574782129,1284529.5625151491
268109009/268109018,0,137,0.4119791666666667,0.1559792027729636,117.57641987651647,189.21898559142116,607.174060080156,293941.0496912912,473047.4639785529,1517935.15020039
268109001,103,1,1.4990937321937323,0.8081350729086723,1073.9525576503684,2379.640077458589,6200.9306222183695,2684881.3941259207,5949100.193646473,15502326.555545924
268109010,0,167,0.4711268656716418,0.48086124401913877,466.81483623588525,790.0816599711965,2477.51412184335,1167037.090589713,1975204.1499279912,6193785.304608375
268109014,0,79,0.45553333333333335,0.024193548387096774,10.95385300064516,18.30876076812903,57.73809707238709,27384.6325016129,45771.901920322576,144345.24268096773
268109003,87,0,2.037223058823529,1.0,1116.132687424957,2853.360551716003,7148.0664395289605,2790331.718562393,7133401.379290008,17870166.0988224
268009017,34,94,0.7998221987315012,0.9722507708119219,989.6768867410724,1897.1436628693368,5505.018830495889,2474192.216852681,4742859.157173342,13762547.076239724
268009013,13,73,0.4182711538461538,0.05752212389380531,30.1885929899369,48.27159826904542,153.3628066547114,75471.48247484225,120678.99567261354,383407.0166367785
268009009,14,61,0.47989663865546217,0.34195402298850575,169.21140939731185,284.0781215083584,880.8016938252019,423028.52349327964,710195.3037708959,2202004.2345630047
268009011,57,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268009001,63,48,0.712915331010453,0.37962962962962965,381.2103444919692,694.0610893768658,2022.3817597821383,953025.861229923,1735152.7234421645,5055954.399455345
268009002,50,73,0.53429633401222,0.597323600973236,567.1403624469464,968.4798066385545,2936.6211234457924,1417850.906117366,2421199.516596386,7341552.808614481
268009016,83,19,0.9834568281938326,1.0,1125.4041073069902,2236.614026912948,6273.594807879255,2813510.2682674755,5591535.067282369,15683987.019698137
268009008,92,59,0.6798428235294117,0.9199134199134199,1264.5446953017376,2269.6929488422284,6645.437386867225,3161361.738254344,5674232.3721055705,16613593.467168061
268009012,51,67,0.43149892473118284,0.3639921722113503,311.21019433529386,494.5933957556513,1546.3864124481981,778025.4858382347,1236483.4893891283,3865966.0311204954
268009010,42,56,0.6994705188679244,0.8138195777351248,668.9886375162343,1221.0126185064169,3579.2666938870852,1672471.5937905859,3052531.546266042,8948166.734717714
268009005,91,7,0.5294142028985507,0.3988439306358382,384.21604735520935,639.3755861497388,1915.6085929792716,960540.1183880233,1598438.9653743468,4789021.482448179
268009004,93,1,0.5884742424242423,0.3826086956521739,371.9797831225374,633.9019198627235,1873.3952390095676,929949.4578063436,1584754.7996568088,4683488.097523919
268107005,78,79,1.1074663990825688,0.6546546546546547,1008.0495047752822,2084.631489814115,5760.533508271062,2520123.7619382055,5211578.724535287,14401333.770677654
268104003,25,88,0.5669444073455759,0.48267526188557613,385.35098055786887,675.5618558719818,2046.2561663822007,963377.4513946722,1688904.6396799546,5115640.415955502
268104013,0,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268104009,38,72,0.5067808219178083,0.3427230046948357,278.13078887405675,470.59514853891477,1438.9246644805041,695326.9721851419,1176487.871347287,3597311.6612012605
268104012,8,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268104010,94,18,0.7839035830618891,0.41542625169147496,488.936177366459,903.4384028833074,2589.434388039172,1222340.4434161475,2258596.0072082686,6473585.97009793
268104002,30,89,0.7924780663780665,0.7516268980477223,704.3074096123636,1347.3231423242025,3914.8292246386554,1760768.524030909,3368307.8558105063,9787073.06159664
268104011/02,26,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268104011/01,0,103,0.5090537313432836,0.3691460055096419,227.74429394829755,395.69748397954834,1225.9572543889808,569360.7348707439,989243.7099488708,3064893.135972452
268104001,0,112,0.36469496124031003,0.19679633867276888,115.79503007194509,177.83344907901753,583.3076898604912,289487.57517986273,444583.6226975438,1458269.2246512282
268104008,0,89,0.5186063025210085,0.7603833865814696,407.1319702731758,710.5800989612526,2196.41784295655,1017829.9256829395,1776450.2474031316,5491044.607391375
268104014,0,143,0.370945945945946,0.06618962432915922,50.0367411627907,77.35095167441862,252.92792032558143,125091.85290697674,193377.37918604657,632319.8008139535
268104016,51,78,0.5193536388140162,0.25324232081911263,249.0047851529112,422.5651586841055,1286.1600407041933,622511.962882278,1056412.8967102638,3215400.1017604833
268104007,0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268058008,227,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268058016/01,23,120,0.3411243243243243,0.01737089201877934,14.139601883780715,20.894133654445042,68.79765171574141,35349.00470945179,52235.33413611261,171994.12928935353
268059004,0,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268009003,79,25,0.6487494152046783,0.2692913385826772,269.671034913201,475.071663939762,1394.1141108258869,674177.5872830026,1187679.159849405,3485285.2770647174
268059002,85,41,0.29510000000000003,0.002178649237472767,1.9611820609023383,2.6649257965371653,8.825014995001737,4902.955152255846,6662.314491342913,22062.53748750434
268059001,71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268058015,2,113,0.7658202702702703,0.12758620689655173,99.18384183656153,191.15086895615028,562.0854573518509,247959.60459140383,477877.1723903757,1405213.6433796273
268058016/02,28,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268059003,95,32,0.5035123167155425,0.21901091843288376,250.01807676822182,413.9472258565277,1252.477618367626,625045.1919205545,1034868.0646413193,3131194.0459190654
268058017,129,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268058011/01,22,29,0.8941294117647058,0.02207792207792208,10.076170328432813,19.816026281828975,56.598969496310964,25190.425821082034,49540.06570457244,141497.42374077742
268058010,22,130,0.4471198083067093,0.2675213675213675,253.8970223354992,416.48835653431934,1308.7246979540132,634742.555838748,1041220.8913357983,3271811.744885033
268058002,93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268058011/02,1,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268058005,75,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268058006,81,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268009006,0,44,0.5854808139534883,0.5830508474576271,159.05538354744408,286.06750493602715,870.7875295918644,397638.4588686102,715168.7623400679,2176968.823979661
268058003,71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268049002,116,31,0.6608571839080459,0.39816933638443935,573.9220190766546,1014.5958501396478,2968.8275183866094,1434805.0476916365,2536489.62534912,7422068.795966524
268058004,76,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268049005,70,75,0.43448344370860925,0.08502252252252253,91.94530761849609,146.1075217102317,455.55470027767234,229863.26904624022,365268.8042755793,1138886.7506941808
268129023,50,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268114005,35,71,0.7442444444444445,0.0015861825872400424,1.3630557187187389,2.543115860440092,7.418615713773271,3407.6392967968472,6357.78965110023,18546.539284433176
268116004,89,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128014,27,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268114004,61,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128011,86,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268116002,102,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268116007,0,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268116006,81,18,0.3596,0.00017780938833570413,0.1432609287574454,0.2088231366097689,0.6653318815975195,358.1523218936135,522.0578415244222,1663.3297039937988
268128012/01,32,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128012/02,38,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268116001,55,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268116003,45,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128008,1,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128009,56,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268114008,31,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268116014,0,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268128010,3,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268116009,50,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268117013,31,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268117012,49,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268117018,43,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268114010,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268114009,22,57,0.9676995106035888,0.4289713086074178,284.6911017654587,580.8345667704349,1653.6173745457131,711727.7544136468,1452086.416926087,4134043.436364283
268117011,33,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268117014,68,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268114011,81,0,0.5718673400673401,0.14812967581047382,123.73267341323748,209.29287153138893,620.5104102694245,309331.6835330937,523232.17882847233,1551276.0256735613
268116011,26,77,0.32446842105263163,0.007645875251509054,4.655082996978517,6.7051374911933825,22.185143645970193,11637.707492446292,16762.843727983458,55462.85911492548
268116008,19,150,0.693084368737475,0.11952095808383234,141.1183076803504,262.47030137522427,778.300026456308,352795.769200876,656175.7534380606,1945750.0661407702
268117016,22,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268114012,0,88,0.255245,0.06309148264984227,25.973458248075712,34.68702944726813,121.88254589718612,64933.64562018928,86717.57361817033,304706.3647429653
268111001,110,16,0.7426015672782875,0.7461494580718768,988.7619349302734,1795.258286781371,5170.7367870388,2471904.8373256833,4488145.7169534275,12926841.967597
268116010,7,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268114013,29,45,0.566532608695652,0.05215419501133787,29.989392933248148,51.99787629953437,156.61612603619056,74973.48233312037,129994.69074883593,391540.3150904764
268116012,0,79,0.9154136363636364,0.041121495327102804,22.610532320254205,46.381036812052336,134.10729643700932,56526.330800635515,115952.59203013084,335268.2410925233
268117006,12,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268117007,38,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268115005,66,55,0.44700652173913036,0.02076749435665914,19.563147444442755,31.318570237383664,97.01672186012408,48907.86861110689,78296.42559345916,242541.8046503102
268116013,57,38,0.36570215053763444,0.18128654970760233,127.55045132280162,188.81774019069078,603.656889807265,318876.12830700405,472044.35047672695,1509142.2245181624
268117005,77,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268111002,93,11,0.8809687268232386,0.8366080661840745,964.1496319739999,1843.66922632196,5218.882782053061,2410374.079935,4609173.0658049,13047206.955132654
268115018,96,2,0.5101333333333333,0.03513513513513514,34.26546765175449,56.41452113728645,169.58306033706023,85663.66912938622,141036.30284321614,423957.65084265056
268117003,35,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268117002,46,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268115023,68,38,0.9042266501941405,0.5780452968781882,610.672417306189,1191.1626804729449,3380.8023685325015,1526681.0432654724,2977906.701182362,8452005.921331253
268111004,90,7,0.7300662162162163,0.8381877022653722,870.4515723223823,1570.2603412158476,4527.349522335328,2176128.9308059555,3925650.853039619,11318373.80583832
268115020,25,46,0.6596119402985074,0.10668789808917198,59.98796811750718,108.33384162910176,320.61113528999687,149969.92029376794,270834.6040727544,801527.8382249922
268115019,23,66,0.5865690476190476,0.037366548042704624,24.21740028566492,42.70894142595006,128.6482474653733,60543.5007141623,106772.35356487514,321620.61866343324
268115022,58,8,1.439535624284078,0.9886749716874292,795.2081843729616,1740.7815011120663,4568.703871567887,1988020.460932404,4351953.7527801655,11421759.678919718
268111003,74,14,1.265569770879527,0.8706563706563707,918.3286029059715,1909.8881802945093,5096.731342674548,2295821.507264929,4774720.450736273,12741828.356686369
268115021,96,2,1.568456870860927,0.8895434462444771,1108.9509825356542,2508.1975222288083,6498.423659105466,2772377.4563391358,6270493.805572021,16246059.147763666
268115017,48,38,1.0509525423728814,0.052444444444444446,44.974691876237955,91.8251214451257,256.04374556303367,112436.72969059489,229562.80361281426,640109.3639075842
268117017,41,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268117010,15,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268117004,19,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268117001,19,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268117015,35,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268117008,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268108023,99,0,2.265766530194473,1.0,1270.082023621503,3387.5891265680903,8465.03027526579,3175205.059053757,8468972.816420225,21162575.688164476
268108008/03,0,122,2.5542606060606063,1.0,918.4867600000001,2797.85404669091,7120.539789723637,2296216.9000000004,6994635.116727275,17801349.474309094
268108009,105,1,2.105883956244303,1.0,1354.5852717197756,3509.6508473117287,8786.551430208276,3386463.179299439,8774127.118279321,21966378.57552069
268108007,82,0,2.330521298701299,0.8357452966714906,879.1932966217348,2372.5912942542404,5924.7027353188405,2197983.241554337,5931478.235635601,14811756.8382971
268108010,0,68,1.7702922413793105,1.0,511.94344000000007,1322.8186720551726,3456.267777180828,1279858.6,3307046.6801379314,8640669.44295207
268108024,77,0,2.200868335146899,1.0,987.8415739278355,2603.7248596546415,6510.8021751126835,2469603.934819589,6509312.149136604,16277005.437781708
268108002,87,2,1.5081366580310882,1.0,1131.1898474249572,2514.5967022562004,6548.942470541232,2827974.618562393,6286491.755640501,16372356.17635308
268108006,63,39,1.7321321589205396,0.9460992907801419,1042.458212150715,2518.9074765352802,6484.416325085469,2606145.5303767878,6297268.691338201,16211040.812713673
268108016,0,113,1.3940180212014135,0.4367283950617284,371.5377466358025,859.8968120395062,2324.5965084768027,928844.3665895062,2149742.0300987656,5811491.271192007
268108001,92,0,0.6501926630434783,0.4835742444152431,474.4961055694574,828.7960603733364,2419.9169319834036,1186240.2639236436,2071990.1509333411,6049792.329958509
268108004,67,14,2.40281392931393,1.0,964.9505804307141,2662.186097764868,6660.140569033543,2412376.451076785,6655465.24441217,16650351.422583858
268108005,75,4,1.9423271857923496,1.0,992.2976712284113,2488.1066635776187,6265.849001901914,2480744.1780710286,6220266.658944047,15664622.504754784
268108012,99,0,1.9651335948644792,0.7598915989159891,965.1246596841988,2428.161843330047,6100.260504735186,2412811.6492104973,6070404.608325117,15250651.261837965
268107006,64,17,1.6687706036745407,0.872852233676976,828.37952763203,1946.3672498526628,5018.400942985365,2070948.819080075,4865918.124631657,12546002.357463412
268108013,48,83,0.9982444444444446,0.4411006018916595,514.2975888869275,1053.5308357010008,2982.470198219113,1285743.9722173188,2633827.089252502,7456175.495547783
268108011,0,80,1.1689078947368419,0.19,112.40733134399999,245.20406854399997,681.756537584,281018.32836,613010.1713599999,1704391.34396
268107003,82,1,1.3333757575757577,0.9508474576271186,1007.4378198126412,2124.5586602383814,5617.533796074605,2518594.549531603,5311396.650595954,14043834.490186512
