source,canonical_type,metric,depth_m,damage_ratio
JRC_NorthAmerica_D19,Detached,value_ratio,1.25,0.6326
JRC_NorthAmerica_D19,Detached,value_ratio,1.5,0.6825
JRC_NorthAmerica_D19,Detached,value_ratio,2.0,0.784
JRC_NorthAmerica_D19,Detached,value_ratio,2.5,0.8192
JRC_NorthAmerica_D19,Detached,value_ratio,3.0,0.8543
JRC_NorthAmerica_D19,Bungalow,value_ratio,0.0,0.2018
JRC_NorthAmerica_D19,Bungalow,value_ratio,0.25,0.3225
JRC_NorthAmerica_D19,Bungalow,value_ratio,0.5,0.4433
JRC_NorthAmerica_D19,Bungalow,value_ratio,0.75,0.513
JRC_NorthAmerica_D19,Bungalow,value_ratio,1.0,0.5828
JRC_NorthAmerica_D19,Bungalow,value_ratio,1.25,0.6326
JRC_NorthAmerica_D19,Bungalow,value_ratio,1.5,0.6825
JRC_NorthAmerica_D19,Bungalow,value_ratio,2.0,0.784
JRC_NorthAmerica_D19,Bungalow,value_ratio,2.5,0.8192
JRC_NorthAmerica_D19,Bungalow,value_ratio,3.0,0.8543
JRC_NorthAmerica_D19,Semi-Detached,value_ratio,0.0,0.2018
JRC_NorthAmerica_D19,Semi-Detached,value_ratio,0.25,0.3225
JRC_NorthAmerica_D19,Semi-Detached,value_ratio,0.5,0.4433
JRC_NorthAmerica_D19,Semi-Detached,value_ratio,0.75,0.513
JRC_NorthAmerica_D19,Semi-Detached,value_ratio,1.0,0.5828
JRC_NorthAmerica_D19,Semi-Detached,value_ratio,1.25,0.6326
JRC_NorthAmerica_D19,Semi-Detached,value_ratio,1.5,0.6825
JRC_NorthAmerica_D19,Semi-Detached,value_ratio,2.0,0.784
JRC_NorthAmerica_D19,Semi-Detached,value_ratio,2.5,0.8192
JRC_NorthAmerica_D19,Semi-Detached,value_ratio,3.0,0.8543
JRC_NorthAmerica_D19,Terrace,value_ratio,0.0,0.2018
JRC_NorthAmerica_D19,Terrace,value_ratio,0.25,0.3225
JRC_NorthAmerica_D19,Terrace,value_ratio,0.5,0.4433
JRC_NorthAmerica_D19,Terrace,value_ratio,0.75,0.513
JRC_NorthAmerica_D19,Terrace,value_ratio,1.0,0.5828
JRC_NorthAmerica_D19,Terrace,value_ratio,1.25,0.6326
JRC_NorthAmerica_D19,Terrace,value_ratio,1.5,0.6825
